item_id,similar_items,similar_scores
6936,13218 10253 13641 6697 12605 7461 13615 4096 3311 13534,0.391020 0.371402 0.371402 0.366277 0.329488 0.270952 0.265177 0.263556 0.254678 0.254355
6937,9866 1369 14039 5333 6081 275 12518 9801 6832 4149,0.483301 0.396618 0.352656 0.314916 0.298169 0.297578 0.293658 0.284458 0.280159 0.274752
6938,492 3683 954 2679 3772 924 10028 7101 1992 7858,0.584441 0.487084 0.485871 0.473630 0.458935 0.438790 0.411383 0.378557 0.368362 0.343767
6939,5511 5591 794 5273 8662 2632 6411 603 793 4230,0.454456 0.324343 0.233767 0.219309 0.206867 0.205902 0.205024 0.198852 0.198792 0.194157
6940,1682 6223 12857 11284 13611 2811 8631 7242 8278 5643,0.304516 0.304019 0.258561 0.247822 0.246474 0.244443 0.239910 0.224901 0.223788 0.221804
6941,14985 11123 14124 9784 9788 3068 360 4329 5929 11003,0.637058 0.622745 0.559238 0.558778 0.440262 0.430360 0.430115 0.405228 0.400280 0.382195
6942,2001 7933 737 2459 15242 6045 3400 2456 3392 2458,0.290678 0.288065 0.266769 0.254532 0.253840 0.250795 0.249658 0.243014 0.241172 0.239775
6943,5797 8127 13464 12622 15018 14006 8033 11453 13396 2984,0.616547 0.528115 0.504873 0.502143 0.481501 0.474567 0.425236 0.424877 0.402376 0.401319
6944,12889 7018 7019 6501 10450 5159 7713 5877 8022 11019,0.422441 0.346849 0.323705 0.281051 0.276959 0.273368 0.261748 0.247005 0.230220 0.218526
6945,3644 7165 9395 7166 814 10164 10000 864 811 11914,0.629301 0.600058 0.579707 0.555282 0.553869 0.458676 0.410190 0.406098 0.318892 0.294713
6946,14417 6746 7398 14843 14348 6853 8354 4150 10777 6748,0.434754 0.381652 0.381652 0.378153 0.334773 0.328913 0.319985 0.310874 0.308019 0.299572
6947,6398 5426 8460 4593 354 8865 7459 847 14571 5772,0.331774 0.331774 0.293986 0.273923 0.265930 0.264123 0.261678 0.246939 0.231337 0.229211
6948,3969 836 2187 7929 5144 10842 802 5580 11180 9947,0.532005 0.517543 0.428814 0.389690 0.367241 0.364685 0.331636 0.321365 0.294016 0.282478
6949,5237 1266 5864 5279 1648 15231 1973 6499 3087 13709,0.420809 0.318114 0.292142 0.277094 0.268395 0.267662 0.240767 0.227642 0.225368 0.218235
6950,4631 6060 6589 6476 14754 13141 13892 8575 6964 4992,0.634692 0.531227 0.495618 0.345130 0.336024 0.331230 0.312072 0.312072 0.308543 0.305139
6951,10683 251 13577 11888 11993 11885 2723 14177 7956 13793,0.386696 0.353512 0.330712 0.330348 0.292938 0.285021 0.283555 0.258685 0.254083 0.250960
6952,3876 6278 8032 7259 9128 11617 7897 9126 615 7890,0.464355 0.425629 0.419737 0.409182 0.381631 0.373783 0.354735 0.353097 0.348828 0.341848
6953,15290 5092 5104 5103 5102 5101 5100 5099 5098 5097,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6954,7413 2461 5140 1164 9953 7634 8018 8641 13424 6439,0.561482 0.389888 0.344625 0.326264 0.322276 0.316622 0.313006 0.312108 0.302571 0.285970
6955,7181 3186 1993 4203 7131 11662 6517 14661 9990 6220,0.467484 0.466558 0.386682 0.350751 0.341581 0.341581 0.327116 0.307129 0.299004 0.299004
6956,9070 8653 4238 3207 172 3698 10302 1570 1970 4194,0.797881 0.771542 0.771542 0.731030 0.663002 0.629182 0.604755 0.602676 0.557218 0.554641
6957,8168 8855 4769 5120 1161 4188 3229 1660 4280 2952,0.571672 0.570802 0.473374 0.453235 0.443242 0.397205 0.345164 0.314370 0.296191 0.295431
6958,3320 6857 11670 6368 10253 13641 3375 3470 12203 1437,0.394955 0.389489 0.376380 0.367119 0.357024 0.357024 0.351400 0.350074 0.345898 0.342675
6959,4499 1417 6033 12549 4768 11161 1831 2309 162 13108,0.765816 0.548512 0.478664 0.467662 0.452713 0.452713 0.452713 0.432654 0.426313 0.422410
6960,4782 7247 5084 3189 5723 3915 5030 12192 5621 4478,0.426658 0.391003 0.388007 0.379762 0.379762 0.379762 0.379762 0.341987 0.329370 0.327028
6961,11300 5290 2692 291 8030 2751 9404 7407 8125 5602,0.488671 0.307542 0.285192 0.274897 0.270343 0.233878 0.194074 0.189040 0.184158 0.183243
6962,5214 7511 418 3174 1408 11014 8571 5028 4211 6976,0.601693 0.524823 0.509173 0.435458 0.424116 0.412568 0.373759 0.367105 0.364258 0.353381
6963,942 1211 6343 12639 9978 5902 6975 13236 5768 5383,0.553072 0.423959 0.415838 0.392228 0.342163 0.306447 0.294695 0.290733 0.275968 0.238535
6964,2937 2976 5165 6051 6023 464 7516 493 5661 4197,0.644665 0.622952 0.612555 0.612555 0.612555 0.571795 0.536087 0.515748 0.509600 0.505193
6965,3915 3189 5723 5030 4782 8352 3030 7918 7502 5893,0.465339 0.465339 0.465339 0.465339 0.414192 0.359669 0.359669 0.359669 0.359669 0.359669
6966,12362 8920 5631 5089 8337 5997 11661 6049 13906 6862,0.463541 0.356639 0.299668 0.264708 0.255751 0.249557 0.241718 0.237347 0.228556 0.225958
6967,15244 1233 12160 1832 7799 214 8352 778 12246 9711,0.650304 0.548863 0.548863 0.548863 0.548863 0.548863 0.548863 0.548863 0.548863 0.548863
6968,5081 4175 3253 7914 493 8200 1520 8287 6044 9162,0.742642 0.651587 0.613885 0.589672 0.587200 0.546010 0.533629 0.517857 0.508884 0.504230
6969,1856 9204 7558 8458 13832 5140 4270 366 4305 5277,0.341417 0.312133 0.310129 0.293358 0.279063 0.276049 0.275473 0.273349 0.271545 0.263155
6970,6973 11713 4143 7137 4144 3765 2072 3549 8297 3740,1.000000 0.974873 0.876539 0.847913 0.838320 0.722258 0.722258 0.708294 0.643886 0.632089
6971,12571 7398 6746 6745 12491 4123 14292 9332 13970 4436,0.489426 0.458185 0.458185 0.434502 0.434502 0.434502 0.434502 0.430855 0.425137 0.403863
6972,6748 7398 6746 13970 6857 297 10940 6971 2096 12458,0.513193 0.460946 0.460946 0.427424 0.383102 0.371362 0.368944 0.362200 0.361151 0.353713
6973,6970 11713 4143 7137 4144 3765 2072 3549 8297 3740,1.000000 0.974873 0.876539 0.847913 0.838320 0.722258 0.722258 0.708294 0.643886 0.632089
6974,41 14507 14173 6978 13986 13017 5079 14174 4502 5594,0.372945 0.365124 0.329842 0.317430 0.303229 0.301422 0.299363 0.262513 0.234160 0.213714
6975,5902 1454 11238 8335 8145 279 5383 11574 1655 12204,0.442087 0.410372 0.410256 0.382676 0.365054 0.358975 0.354472 0.352525 0.333288 0.300493
6976,418 5214 13974 1994 1408 4857 10920 1213 8856 546,0.694029 0.587312 0.452751 0.440604 0.413979 0.379258 0.369787 0.369787 0.369787 0.369787
6977,6345 5380 9841 9804 11127 7945 6162 2385 8335 3878,0.648310 0.643446 0.632759 0.601413 0.425579 0.416999 0.404768 0.362707 0.356661 0.356226
6978,14507 14173 13986 14174 14874 9833 9550 14432 4152 13140,0.635063 0.573697 0.527408 0.500119 0.442604 0.359515 0.339516 0.337714 0.336939 0.318059
6979,847 9954 10418 750 832 7918 9163 5162 1213 9162,0.747784 0.712207 0.625443 0.536162 0.495734 0.363505 0.363505 0.363505 0.363505 0.363505
6980,9609 5071 14476 1043 9708 7477 13735 14098 5990 11478,0.688117 0.516877 0.472203 0.389940 0.383152 0.328793 0.305495 0.301510 0.293838 0.293270
6981,11172 4069 9808 5988 3789 10455 12389 566 6508 6181,0.465947 0.444056 0.433964 0.426879 0.421756 0.393373 0.392666 0.381601 0.380841 0.365926
6982,5946 1748 12024 12680 6923 12451 5694 5677 7133 7827,0.537228 0.489359 0.459474 0.433260 0.428715 0.357992 0.337998 0.331029 0.316405 0.296081
6983,5049 6427 3223 1204 1690 1833 7912 9955 4506 162,0.769860 0.769566 0.769566 0.752237 0.748326 0.733350 0.695270 0.678618 0.474819 0.444071
6984,3717 7339 14878 15187 14958 3720 14652 8415 5431 11484,0.482572 0.451850 0.451408 0.434770 0.378651 0.356339 0.342200 0.333698 0.318415 0.312476
6985,4123 14292 6745 12491 12547 11596 6748 6746 7398 4431,0.518560 0.518560 0.518560 0.518560 0.373498 0.362051 0.356070 0.354914 0.354914 0.345968
6986,13512 14440 10064 12066 641 8111 12272 11069 1470 14153,0.370870 0.301270 0.283516 0.272239 0.266813 0.230472 0.225870 0.221688 0.214846 0.200936
6987,1051 5790 226 3453 1014 1041 4976 2328 6433 7369,0.916612 0.758256 0.754784 0.754784 0.717181 0.712058 0.647795 0.631504 0.624070 0.591376
6988,2323 5140 790 745 2366 12050 8657 4267 4871 784,0.570797 0.465108 0.415399 0.408101 0.344279 0.285255 0.267350 0.261950 0.247933 0.240910
6989,437 2365 14427 3045 15010 1970 8804 3882 10332 14657,0.419288 0.301572 0.300054 0.291527 0.289098 0.286929 0.284581 0.281956 0.277031 0.269104
6990,12882 11111 12506 9795 11108 12500 10563 12502 14408 5345,0.661866 0.652805 0.624297 0.615957 0.607197 0.586550 0.508739 0.465785 0.380424 0.349024
6991,6384 5118 12634 2237 11704 11363 8985 4084 6068 10667,0.836718 0.692111 0.667573 0.533464 0.496969 0.473679 0.441213 0.432129 0.417656 0.412798
6992,14138 8827 13345 3465 8907 8746 12426 14879 12744 13342,0.415933 0.362653 0.361948 0.347289 0.324063 0.318786 0.300024 0.298255 0.296612 0.291605
6993,6995 12883 5349 12740 14595 11423 10245 1402 14708 13082,0.795000 0.795000 0.454704 0.355276 0.322512 0.289309 0.287309 0.267573 0.266695 0.261387
6994,13245 13128 14324 14044 14084 11493 11879 8869 11822 13342,0.401546 0.383092 0.376907 0.352199 0.344837 0.341381 0.332715 0.331864 0.321024 0.319191
6995,12883 6993 13082 5349 8810 11897 12740 5133 8805 14595,1.000000 0.795000 0.570879 0.386967 0.339153 0.332705 0.302351 0.297696 0.285476 0.274468
6996,13345 5115 13203 2816 13661 10040 10312 11879 406 10734,0.329681 0.272761 0.265288 0.253411 0.250724 0.215795 0.196235 0.193812 0.192615 0.191374
6997,3856 758 687 11259 2408 6105 1877 10157 1064 2596,0.661815 0.511819 0.487733 0.215330 0.199753 0.183145 0.182204 0.180273 0.177857 0.177084
6998,3816 7214 7433 7729 13015 3514 14557 2510 2261 249,0.863490 0.636634 0.518919 0.508678 0.438957 0.430642 0.395947 0.340769 0.330144 0.327459
6999,9046 6902 2933 6040 9268 8764 7723 10018 11170 8769,0.616609 0.594355 0.586316 0.584028 0.530680 0.522742 0.516967 0.484015 0.481852 0.474069
7000,5786 12005 5787 14904 2536 2520 2513 11376 6892 5233,0.777043 0.668587 0.526767 0.379849 0.344709 0.344709 0.344709 0.344709 0.344709 0.344709
7001,3209 3708 1287 9093 8880 6026 9227 3556 4128 6217,0.721944 0.655086 0.644205 0.637821 0.589898 0.574783 0.572714 0.527144 0.527144 0.493400
7002,7381 7896 15059 21 4815 8132 6521 12083 14613 1631,0.340828 0.339715 0.333707 0.333352 0.291022 0.281397 0.276418 0.272870 0.270611 0.268658
7003,818 9577 8818 8223 8566 10503 10294 9294 10487 9944,0.557528 0.530740 0.434627 0.398581 0.386364 0.377796 0.361652 0.361445 0.351218 0.331709
7004,2152 2151 8716 1550 3919 9264 5927 10553 1551 10975,0.769595 0.576906 0.542805 0.538331 0.529919 0.524463 0.508965 0.449519 0.333111 0.299286
7005,4879 1283 1279 619 8317 14470 3593 1281 11168 8652,0.817889 0.764394 0.757593 0.757083 0.605155 0.550233 0.504139 0.457997 0.427884 0.414140
7006,9321 8504 15069 5078 13780 13434 1350 5233 140 2551,0.817125 0.721898 0.600268 0.576460 0.563847 0.450963 0.434546 0.434546 0.434546 0.434546
7007,14749 1827 5422 5162 7799 5893 12246 5154 9162 12160,0.377669 0.366586 0.328913 0.328913 0.328913 0.328913 0.328913 0.328913 0.328913 0.328913
7008,6161 11990 5213 3833 13258 1187 10491 9459 14950 12440,0.302838 0.296948 0.269942 0.269787 0.269227 0.266908 0.254723 0.254668 0.253076 0.235266
7009,15290 5092 5104 5103 5102 5101 5100 5099 5098 5097,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
7010,13796 12598 5652 7541 2633 4457 9840 13718 1175 11262,0.386241 0.347795 0.339020 0.323058 0.321604 0.305109 0.297187 0.296003 0.286777 0.286689
7011,5094 1393 2222 6644 5086 14012 12206 12886 1288 14827,0.607821 0.593448 0.593448 0.449096 0.425125 0.416174 0.411627 0.411627 0.411627 0.386041
7012,11657 9251 13699 1805 7231 5052 10114 734 4114 5888,0.398450 0.340561 0.338408 0.326643 0.308748 0.255707 0.254989 0.250105 0.238942 0.236470
7013,6905 15217 13379 2475 5535 5836 3867 12875 7178 10813,0.343541 0.275017 0.270169 0.260715 0.248638 0.248419 0.245192 0.233946 0.223403 0.223002
7014,7015 2367 8419 10605 1634 13373 14794 3281 6373 3601,0.534233 0.343289 0.247793 0.220305 0.220305 0.211082 0.198755 0.193959 0.182339 0.178251
7015,7014 15169 14214 15170 15220 15218 11572 7178 10813 10913,0.534233 0.520764 0.520764 0.503328 0.432024 0.402871 0.374573 0.336256 0.335653 0.306097
7016,11186 14582 11092 13685 14765 7147 13737 15101 9412 11785,0.830422 0.619171 0.605266 0.585725 0.579609 0.557803 0.441738 0.410812 0.396602 0.391385
7017,8702 6568 13751 3184 3420 13523 7187 346 2079 6322,0.369102 0.293349 0.283988 0.272152 0.270261 0.246949 0.239240 0.238014 0.236376 0.232695
7018,7019 6501 4309 2418 6944 12889 7794 684 6772 13198,0.808409 0.450665 0.383104 0.373960 0.346849 0.318716 0.314080 0.280088 0.245186 0.227158
7019,7018 6501 2418 684 14565 6773 6944 5426 6398 4309,0.808409 0.404047 0.400283 0.363296 0.360489 0.344924 0.323705 0.323166 0.323166 0.318882
7020,4397 8698 11092 3503 11391 9089 1044 12967 6304 9995,0.500884 0.491899 0.383002 0.296148 0.288081 0.282027 0.281771 0.279862 0.273230 0.265187
7021,4229 2073 6260 9478 3765 2072 3549 8297 3740 2590,0.891649 0.880934 0.780820 0.742119 0.668294 0.668294 0.655374 0.595778 0.584862 0.547670
7022,4571 13317 12531 8044 2680 9417 12245 13910 6066 4724,0.570413 0.555041 0.502566 0.499459 0.497547 0.488451 0.466055 0.463717 0.462936 0.456685
7023,5794 9396 8949 12708 9894 2327 7938 271 3424 13254,0.299829 0.258401 0.253494 0.249164 0.246811 0.243280 0.235808 0.234771 0.224360 0.223615
7024,10387 4945 6802 203 1022 1689 13830 1291 1547 5183,0.561588 0.405144 0.289439 0.275016 0.270564 0.260860 0.246272 0.241261 0.239989 0.234904
7025,2964 14048 5667 11802 4616 9855 9745 14760 4617 9381,0.398868 0.345168 0.321705 0.308271 0.291713 0.287411 0.265724 0.231124 0.226921 0.225993
7026,4074 6278 6305 10420 3791 15252 7708 14132 9579 9982,0.407005 0.368940 0.338097 0.325932 0.298603 0.277381 0.251534 0.248205 0.240116 0.218378
7027,14874 9550 9833 14432 3941 8437 11139 13140 13949 4378,0.651003 0.570529 0.536895 0.496726 0.449250 0.447917 0.443833 0.436033 0.427865 0.424152
7028,13697 1170 626 10490 11137 9199 4171 7896 3815 13829,0.298693 0.284345 0.282253 0.275535 0.273030 0.266761 0.265689 0.265610 0.264811 0.262812
7029,9720 9920 9247 8775 1092 495 13636 10009 10008 7437,0.350294 0.314782 0.292489 0.253279 0.247862 0.240315 0.232174 0.232075 0.232075 0.229044
7030,9469 7872 2777 1702 13828 2210 14040 8647 7200 10831,0.337626 0.276566 0.270183 0.268222 0.242505 0.238922 0.235341 0.229595 0.225626 0.219587
7031,3441 8567 14274 8157 10205 11015 9487 863 1820 6817,0.613973 0.493589 0.409596 0.275137 0.272138 0.267417 0.266957 0.264784 0.261701 0.255834
7032,11435 8691 12082 4400 4399 14616 9180 5445 553 13165,0.603498 0.573288 0.447562 0.432329 0.419463 0.400555 0.364146 0.358024 0.357366 0.346592
7033,7035 12661 10069 6462 13445 14904 12664 7971 10070 12662,0.405626 0.368648 0.367052 0.354585 0.312056 0.269631 0.269244 0.265179 0.238096 0.230735
7034,3743 10417 6778 12413 13092 10842 4786 4826 1501 9654,0.606068 0.498516 0.443317 0.404398 0.399863 0.396913 0.379248 0.367181 0.363108 0.346307
7035,13445 7033 383 13992 13568 9532 12608 14903 6411 2263,0.517718 0.405626 0.318425 0.256860 0.256860 0.222855 0.212493 0.193560 0.190033 0.188898
7036,2328 8553 2329 7037 1014 226 3453 196 5859 2989,0.970072 0.945035 0.761960 0.751516 0.739093 0.612613 0.612613 0.600968 0.599220 0.594898
7037,2329 7036 8553 2328 1237 2733 4979 2988 5858 2693,0.805260 0.751516 0.710210 0.681718 0.542981 0.526768 0.507854 0.504153 0.500852 0.494837
7038,2428 13074 1966 854 10595 2688 12398 10799 10743 4541,0.555449 0.547290 0.521106 0.392651 0.391138 0.386431 0.378459 0.364873 0.354315 0.347611
7039,463 117 3322 5393 5579 8283 2131 2033 10296 4433,0.631380 0.623809 0.553497 0.455632 0.445132 0.426911 0.425693 0.406675 0.396587 0.332445
7040,7041 686 12175 1375 662 9875 503 3131 4930 5015,0.941455 0.471530 0.457883 0.455625 0.449441 0.443361 0.421243 0.414546 0.411526 0.406384
7041,7040 686 1375 662 12175 9875 503 3131 4930 5015,0.941455 0.463285 0.458398 0.452176 0.442769 0.427408 0.419163 0.417069 0.414030 0.397104
7042,3340 3734 4297 7315 3869 12462 4777 4050 2990 3109,0.911884 0.854671 0.628340 0.586628 0.522160 0.505020 0.505020 0.499225 0.491582 0.483599
7043,2235 9610 10982 2851 11559 3418 4355 3714 10888 12750,1.000000 0.485351 0.481207 0.434375 0.393129 0.379190 0.343280 0.321918 0.271912 0.268873
7044,4822 6051 5165 6023 13090 546 1832 6050 7799 1203,0.569929 0.394014 0.394014 0.394014 0.379114 0.373911 0.373911 0.373911 0.373911 0.373911
7045,11169 7190 3471 10904 2407 8677 4497 3999 13546 10516,0.328327 0.317609 0.283167 0.279080 0.269654 0.256687 0.253077 0.223497 0.218332 0.201507
7046,10684 7049 11361 3647 4434 639 6413 1931 8953 9084,0.325254 0.322145 0.311350 0.269006 0.256672 0.233417 0.233180 0.232731 0.214136 0.210747
7047,1760 10780 8024 13973 8973 9255 1191 702 15004 4409,0.708505 0.571081 0.481585 0.481138 0.466327 0.426986 0.379759 0.377272 0.342423 0.338174
7048,7728 6832 8766 275 5035 8718 11689 14002 8211 1369,0.560756 0.512358 0.494858 0.493478 0.454591 0.438251 0.420287 0.384665 0.375462 0.351026
7049,3647 11361 1931 5426 6398 688 6687 11406 9481 1609,0.530730 0.514709 0.459162 0.414076 0.414076 0.412253 0.397415 0.346870 0.343898 0.342363
7050,4191 10171 2211 4332 15283 5398 8870 5429 12464 10392,1.000000 0.381898 0.344032 0.288986 0.271624 0.254103 0.249771 0.211596 0.200104 0.170782
7051,11646 9262 8469 15289 3947 1235 1460 1816 10887 7400,0.441931 0.394672 0.353113 0.336766 0.327937 0.319445 0.300417 0.300080 0.260666 0.249205
7052,13805 14891 3942 4123 14292 6745 12491 10328 11389 12547,0.529185 0.507721 0.505464 0.483375 0.483375 0.483375 0.483375 0.458622 0.428934 0.348155
7053,11442 9186 14176 6665 14941 11935 4484 14258 3992 4842,0.419353 0.337444 0.305751 0.298831 0.294830 0.242761 0.228969 0.223661 0.167212 0.152486
7054,10910 8618 5207 4123 14292 12491 6745 10178 10299 3577,0.430952 0.379175 0.322338 0.288799 0.288799 0.288799 0.288799 0.282786 0.275290 0.246197
7055,9540 9612 10576 4136 2879 4608 10944 1720 10946 3414,0.349708 0.345916 0.334896 0.310607 0.308057 0.303685 0.283568 0.261101 0.255077 0.242705
7056,3415 1825 13984 1720 1013 7819 2879 7270 8167 14269,0.350495 0.329716 0.328542 0.302028 0.301936 0.276552 0.265685 0.257842 0.256919 0.250232
7057,13621 4597 12369 11721 11890 10992 12367 9548 3743 13443,0.452098 0.291059 0.270594 0.239008 0.238572 0.236581 0.209057 0.206643 0.199439 0.191841
7058,10099 8443 11723 13075 9852 11806 12939 11889 10953 3271,0.433521 0.396728 0.297510 0.286636 0.265376 0.251526 0.246557 0.246549 0.244564 0.236604
7059,7072 7071 4605 3694 7553 1827 4135 2623 8539 2877,0.639635 0.478542 0.382003 0.348252 0.311428 0.284386 0.274770 0.236557 0.231705 0.224144
7060,13753 2574 12543 6110 12589 1242 13008 3687 2271 12767,0.592209 0.424984 0.357941 0.339239 0.333052 0.323217 0.313556 0.296637 0.287843 0.271279
7061,494 10058 10004 428 10795 9058 1245 13823 2935 10474,0.345827 0.298696 0.292859 0.292459 0.286669 0.280145 0.278491 0.271961 0.270446 0.259312
7062,3674 9638 8538 6735 8536 5863 1710 1773 1828 1140,0.617580 0.526281 0.445781 0.429954 0.428339 0.394964 0.390551 0.389588 0.368906 0.358091
7063,1358 1729 12919 12637 9850 1010 7069 1704 14072 9554,0.509461 0.396508 0.371118 0.343272 0.315734 0.309714 0.303118 0.300146 0.298805 0.277614
7064,2375 2380 12733 2379 11816 2372 12895 12240 12738 14283,0.638471 0.615135 0.493115 0.473884 0.459357 0.448642 0.447919 0.376482 0.372578 0.371334
7065,13111 1003 10750 10843 9538 5873 7528 3687 7076 14345,0.543353 0.543353 0.508599 0.498484 0.477597 0.471197 0.429287 0.421794 0.415483 0.400178
7066,10750 1007 13984 3667 9537 6362 3846 2891 2870 3666,0.492211 0.486513 0.464789 0.463940 0.384648 0.365001 0.363913 0.359223 0.332504 0.331668
7067,7426 1719 9852 14759 4138 12211 10992 4600 12257 3001,0.590210 0.418595 0.343361 0.325541 0.324346 0.323678 0.319149 0.306311 0.302737 0.295078
7068,10815 12656 15017 7934 7571 12223 10812 10754 12221 673,0.360828 0.325408 0.323737 0.286987 0.275914 0.268696 0.266014 0.260832 0.257743 0.255639
7069,9554 14072 1010 7063 12917 2376 1775 12548 1729 10075,0.482205 0.422250 0.392076 0.303118 0.300837 0.294143 0.287349 0.283691 0.267793 0.267320
7070,10096 10590 12755 8311 982 13652 12322 7100 1839 12814,0.433687 0.371320 0.358829 0.344631 0.337841 0.315506 0.309966 0.275153 0.264508 0.245026
7071,3679 4605 7059 7072 4135 7553 3694 12589 10134 3074,0.616361 0.504132 0.478542 0.478173 0.464473 0.456389 0.331482 0.259004 0.246450 0.237523
7072,7059 3694 7071 4605 7553 4135 1305 9676 12348 11570,0.639635 0.633660 0.478173 0.426491 0.390148 0.367485 0.288090 0.284553 0.252043 0.251438
7073,9066 6320 2643 5256 9614 4516 129 9038 2886 3859,0.437581 0.327536 0.313391 0.307428 0.296458 0.295402 0.292976 0.287507 0.284468 0.273284
7074,9624 1010 12072 12209 10087 14313 4682 11106 15267 1922,0.444053 0.438841 0.404532 0.360957 0.352973 0.294517 0.273994 0.257668 0.254856 0.253037
7075,3844 9535 4609 12374 7078 13573 3668 14758 7066 1866,0.743360 0.351004 0.315867 0.304638 0.303261 0.248699 0.222704 0.217363 0.215854 0.208987
7076,9538 5872 5873 14345 7528 10425 3687 6362 7065 10426,0.741361 0.533829 0.531499 0.530772 0.500765 0.439686 0.431536 0.415591 0.415483 0.400953
7077,1320 12209 12643 12735 13785 10461 12734 12934 3106 10992,0.605097 0.562970 0.551337 0.486959 0.482840 0.471742 0.433024 0.421582 0.419658 0.394590
7078,9535 9537 12492 3090 6252 4682 6171 7075 12938 1009,0.837434 0.395857 0.353814 0.332964 0.326544 0.313266 0.310911 0.303261 0.290014 0.289531
7079,8159 5849 5848 12375 4139 395 4603 10988 400 9626,0.521407 0.513522 0.506978 0.491327 0.481856 0.445635 0.420478 0.409997 0.387481 0.363718
7080,1013 9195 2998 2996 9641 3674 7062 11001 4317 12734,0.552169 0.462425 0.427011 0.398623 0.367402 0.362811 0.344174 0.343816 0.341722 0.307291
7081,13662 2997 6742 5534 11777 10074 5873 10819 4625 4615,0.545316 0.474598 0.457737 0.447897 0.431293 0.413298 0.411295 0.408202 0.407318 0.398609
7082,10844 13879 12676 12677 3049 7255 7254 13938 10845 3486,0.329852 0.317937 0.297755 0.297755 0.286487 0.277881 0.274448 0.274160 0.270531 0.243723
7083,14010 9424 9568 7245 11838 12440 3491 5198 12305 13598,0.713844 0.639171 0.596475 0.575112 0.450840 0.399752 0.269992 0.248804 0.240793 0.219056
7084,8188 14383 7871 4458 9287 13638 9617 7903 4675 3280,0.428272 0.376033 0.310673 0.298403 0.277321 0.267133 0.235270 0.233445 0.229027 0.225652
7085,10711 13143 2128 12809 11127 602 7882 14983 1836 14843,0.707809 0.707809 0.707809 0.707809 0.407070 0.393657 0.376578 0.374718 0.370461 0.359690
7086,3487 10312 12861 9434 15267 5115 5886 7956 7161 11725,0.647604 0.588177 0.533699 0.530473 0.525301 0.434369 0.406112 0.393495 0.378136 0.375514
7087,14058 5169 2671 3034 13554 6166 12779 10440 5621 10424,0.260316 0.251872 0.250065 0.244564 0.231325 0.224572 0.204405 0.200010 0.198595 0.194320
7088,11123 12465 14124 14985 6941 11003 13315 4329 6166 9784,0.479403 0.475487 0.440694 0.383683 0.374119 0.352488 0.345043 0.341122 0.317440 0.312459
7089,10789 3785 5370 4286 2252 427 8756 1955 1890 9671,0.566066 0.423096 0.346566 0.311306 0.309713 0.286207 0.266501 0.217756 0.210323 0.206835
7090,11045 3124 2629 482 3163 8616 1286 10876 10430 4094,0.398763 0.381102 0.320942 0.303008 0.273086 0.261183 0.246094 0.235482 0.203687 0.199769
7091,4132 9534 8983 12077 3094 12629 12080 13572 11387 9627,0.470677 0.467568 0.459705 0.416052 0.405524 0.384517 0.322751 0.277435 0.270473 0.254568
7092,4693 6735 4602 4061 1710 12725 12369 2371 11777 4683,0.730884 0.463709 0.456989 0.444330 0.421213 0.389690 0.374324 0.350581 0.343838 0.335730
7093,393 8983 4613 9753 4132 6809 11002 12077 14270 4687,0.583821 0.559700 0.511624 0.486247 0.366345 0.363164 0.324007 0.297334 0.295838 0.284174
7094,1771 13565 7215 5867 2890 7880 10090 5440 13786 10543,0.542093 0.464696 0.430844 0.426325 0.425120 0.395971 0.394012 0.357444 0.357259 0.296288
7095,7218 12657 7366 5843 1826 9757 1154 11057 1357 11000,0.519363 0.516759 0.486216 0.469103 0.425189 0.418545 0.411496 0.410636 0.399831 0.391845
7096,11103 1718 13823 6295 5586 14284 11677 3106 14598 5493,0.483771 0.434893 0.302850 0.288657 0.274588 0.271589 0.266678 0.266584 0.256865 0.246427
7097,6647 3154 1286 12224 207 5077 7849 6090 3732 669,0.533310 0.435513 0.341315 0.270207 0.264253 0.259132 0.250793 0.249085 0.243431 0.242728
7098,7099 13702 10578 10629 10996 12259 5450 10461 12209 6847,0.391156 0.389845 0.342491 0.324684 0.324257 0.312237 0.305484 0.294051 0.286079 0.283873
7099,7098 10996 10629 9173 12259 3882 6706 11703 10578 1149,0.391156 0.390535 0.372694 0.347305 0.328397 0.306194 0.301594 0.290162 0.286723 0.280000
7100,10096 765 4352 9623 982 2335 3436 3166 1865 6257,0.870217 0.404676 0.363475 0.350132 0.337322 0.305787 0.301006 0.295259 0.287836 0.280865
7101,492 7858 954 3683 6938 8635 12932 2679 10093 6313,0.435327 0.417620 0.416300 0.405529 0.378557 0.369152 0.360662 0.352788 0.351797 0.322379
7102,1725 9747 9748 12806 10214 2986 12919 11797 11798 8541,0.563056 0.506369 0.500358 0.470254 0.415851 0.410418 0.405409 0.382316 0.371692 0.341795
7103,12586 5446 7951 6160 1934 3861 7828 10312 2705 12278,0.951273 0.432094 0.432049 0.325952 0.316407 0.284670 0.274261 0.273911 0.266806 0.263821
7104,9126 2984 11642 8026 9128 8032 620 6508 7259 13691,0.378947 0.318299 0.313249 0.312009 0.310319 0.300480 0.298249 0.297522 0.292924 0.292356
