i,Title,Author,description,api_title,api_authors,api_source,api_query
8182,Charlotte : roman /,"Foenkinos, David","""Ce roman retrace la vie de Charlotte Salomon, artiste peintre morte à vingt-six ans alors qu'elle était enceinte. Après une enfance à Berlin marquée par une tragédie familiale, Charlotte est exclue progressivement par les nazis de toutes les sphères de la société allemande. Elle vit une passion amoureuse fondatrice, avant de devoir tout quitter pour se réfugier en France. Exilée, elle entreprend la composition d'une œuvre picturale autobiographique d'une modernité fascinante. Se sachant en danger, elle confie ses dessins à son médecin en lui disant : ""C'est toute ma vie."" Portrait saisissant d'une femme exceptionnelle, évocation d'un destin tragique, Charlotte est aussi le récit d'une quête. Celle d'un écrivain hanté par une artiste, et qui part à sa recherche.""--Back cover.",Charlotte,,Open Library ISBN,9782070145683
8183,"Par-delà les frontières du corps : repenser, refaire et revendiquer le corps dans le capitalisme tardif /","Federici, Silvia","Par-delà les frontières du corps : repenser, refaire et revendiquer le corps dans le capitalisme tardif / is a book by Federici, Silvia. It is associated with the following themes: Corps humain--Aspect politique., Corps humain--Aspect social., Capitalisme., Féminisme.. The book is published by Editions Divergences.",,,Local metadata fallback,
8184,Les hirondelles de Kaboul : roman /,"Khadra, Yasmina","Dans les ruines brûlantes de la cité millénaire de Kaboul, la mort rôde, un turban noir autour du crâne. Ici, une lapidation de femme, là un stade rempli pour des exécutions publiques. Les Taliban veillent. La joie et le rire sont devenus suspects. Atiq, le courageux moudjahid reconverti en geôlier, traîne sa peine. Toute fierté l'a quitté. Le goût de vivre a également abandonné Mohsen, qui rêvait de modernité. Son épouse Zunaira, avocate, plus belle que le ciel, est désormais condamnée à l'obscurité grillagée du tchadri. Alors Kaboul, que la folie guette, n'a plus d'autres histoires à offrir que des tragédies. Quel espoir est-il permis ? Le printemps des hirondelles semble bien loin encore. L'attentat Dans un restaurant de Tel Aviv, une jeune fait exploser au milieu des clients. A l'hôpital, le docteur Amine, chirurgien israélien d'origine arabe, opère à la chaîne les survivants de l'attentat. Dans la nuit qui suit le carnage, on le rappelle d'urgence pour examiner le corps déchiqueté de la kamikaze. Le sol se lors sous ses pieds : il s'agit de sa propre femme. Comment admettre l'impossible, comprendre l'inimaginable, découvrir qu'on a partagé, des années durant, la vie et l'intimité d'une personne dont on ignorait l'essentiel? Pour savoir, il faut entrer dans la haine, le sang et le combat du peuple palestinien. Les sirènes de Bagdad Kafr Karam. Un petit village aux confins du désert irakien. On y débat devant la télévision, et surtout on s'y ennuie, on attend, loin de la guerre que viennent de déclencher les Occidentaux et qui embrase le reste du pays. Mais le conflit, avec son lot de brutalités, d'incompréhensions et de bavures tragiques va finir par rattraper cette région où la foi, la tradition et l'honneur ne sont pas des mots vides de sens. Et quand une nouvelle humiliation vient profaner ce qu'un Bédouin a de plus sacré, alors s'ouvre le temps de la colère et de la riposte. Une vengeance terrible, sans merci, car désormais seul le sang pourra laver ce qui a été souillé...",Les hirondelles de Kaboul,,Open Library ISBN -> Work,9782260015963
8185,La honte est un sentiment révolutionnaire /,"Gros, Frédéric","La honte est un sentiment révolutionnaire / is a book by Gros, Frédéric. It is associated with the following themes: Honte. The book is published by Albin Michel.",,,Local metadata fallback,
8186,"Grammaire espagnole en 10 leçons : [classes préparatoires, universités] /","Azzopardi, Sophie","Grammaire espagnole en 10 leçons : [classes préparatoires, universités] / is a book by Azzopardi, Sophie. It is associated with the following themes: Espagnol (langue)--Grammaire--Manuels pour locuteurs du français. The book is published by Ellipses.",,,Local metadata fallback,
8187,Capital et race : histoire d'une hydre moderne /,"Laurent, Sylvie 1974-....","Capital et race : histoire d'une hydre moderne / is a book by Laurent, Sylvie 1974-..... It is associated with the following themes: Racisme, Idées politiques--Histoire, Colonialisme (idée politique), Capitalisme--Etats-Unis, Discrimination raciale--Etats-Unis. The book is published by Éditions du Seuil.",,,Local metadata fallback,
8188,Vieux Kapiten /,"Danquigny, Danü, 1975-","Vieux Kapiten / is a book by Danquigny, Danü, 1975-. The book is published by Gallimard.",,,Local metadata fallback,
8189,"Moi aussi : MeToo, au-delà du hashtag /",,"Moi aussi : MeToo, au-delà du hashtag / is a book from the catalog. It is associated with the following themes: Mouvements de lutte contre les violences sexistes et sexuelles, Féminisme--2000-...., Récits personnels. The book is published by JC Lattès.",,,Local metadata fallback,
8190,L'Héritage /,"Paolini, Christopher","L'Héritage / is a book by Paolini, Christopher. It is associated with the following themes: Exclusion sociale, Dragons, Roman pour la jeunesse. The book is published by Bayard Jeunesse.",,,Local metadata fallback,
8191,Le droit du bail en 400 questions /,"Ansermet, Jacques juriste 19..-....","Le droit du bail en 400 questions / is a book by Ansermet, Jacques juriste 19..-..... It is associated with the following themes: Baux--Droit, Miete, Schweiz. The book is published by Propriétaires Services SA une entité de la Chambre vaudoise immobilière.",,,Local metadata fallback,
8192,"Flavour : plus de légumes, plus de saveurs /","Ottolenghi, Yotam","Flavour : plus de légumes, plus de saveurs / is a book by Ottolenghi, Yotam. It is associated with the following themes: Cuisine. The book is published by Hachette cuisine.",,,Local metadata fallback,
8193,Plenty more : 120 nouvelles recettes végétariennes /,"Ottolenghi, Yotam","Plenty more : 120 nouvelles recettes végétariennes / is a book by Ottolenghi, Yotam. It is associated with the following themes: Cuisine végétarienne. The book is published by Hachette Pratique.",,,Local metadata fallback,
8194,Manuel pour guérir d'un traumatisme avec l'EMDR /,"Drozdowski, Eva","Manuel pour guérir d'un traumatisme avec l'EMDR / is a book by Drozdowski, Eva. It is associated with the following themes: Traumatisme--Thérapeutique., EMDR., Réalisation de soi., Guides pratiques.. The book is published by Éditions Eyrolles.",,,Local metadata fallback,
8195,Ce que nous sommes /,"Zep, 1967-","Nous vivons dans une hyper technologie que presque aucun individu n'est capable de comprendre ou maîtriser... On voulait faire un humain augmenté, on a créé l'humain assisté.",Ce que nous sommes,,Open Library ISBN -> Work,9782810204984
8196,60 minutes pour arrêter de procrastiner /,"Martin, Christian formateur 1952-....","60 minutes pour arrêter de procrastiner / is a book by Martin, Christian formateur 1952-..... It is associated with the following themes: Procrastination, Guides pratiques. The book is published by Gereso Editions.",,,Local metadata fallback,
8197,Migration : voix de femmes : 10 récits de vie /,"Kaenel, Nicole von","Migration : voix de femmes : 10 récits de vie / is a book by Kaenel, Nicole von. It is associated with the following themes: Immigrées--Suisse--20e siècle, Migration--Femmes--Histoires de vie, Récits personnels. The book is published by Association Belles Pages.",,,Local metadata fallback,
8198,"Au nom des Noirs : États-Unis, 1964 : au cœur du mouvement pour les droits civiques : récit /","Warren, Robert Penn","Au nom des Noirs : États-Unis, 1964 : au cœur du mouvement pour les droits civiques : récit / is a book by Warren, Robert Penn. It is associated with the following themes: Noirs américains--Ségrégation--1965-...., Mouvements des droits civiques--Etats-Unis--1965-...., Entretiens. The book is published by Le Cherche Midi.",,,Local metadata fallback,
8199,L'assiette anti-inflammatoire : guide pratique et recettes saines pour prévenir les inflammations /,"Naud, Sybille","L'assiette anti-inflammatoire : guide pratique et recettes saines pour prévenir les inflammations / is a book by Naud, Sybille. It is associated with the following themes: Inflammation--Aspect nutritionnel, Inflammation--Prévention, Cuisine. The book is published by Hachette.",,,Local metadata fallback,
8200,Rassemblez-vous en mon nom : roman /,"Angelou, Maya","Rassemblez-vous en mon nom : roman / is a book by Angelou, Maya. The book is published by Noir sur Blanc.",,,Local metadata fallback,
8201,Les douleurs fantômes : roman /,"Da Costa, Mélissa","Les douleurs fantômes : roman / is a book by Da Costa, Mélissa. It is associated with the following themes: Roman français, Roman. The book is published by Albin Michel.",,,Local metadata fallback,
8202,Le Cervin est-il africain ? : une histoire géologique entre les Alpes et notre planète /,"Marthaler, Michel","Le Cervin est-il africain ? : une histoire géologique entre les Alpes et notre planète / is a book by Marthaler, Michel. It is associated with the following themes: Alpes (chaîne)--* géologie. The book is published by Ed LEP Loisirs et Pédagogie.",,,Local metadata fallback,
8203,Décolonisons-nous /,"Lao, Frank","Décolonisons-nous / is a book by Lao, Frank. It is associated with the following themes: Colonisation--Sociologie--2000-...., Décolonisation--Sociologie--2000-...., Ségrégation--Sociologie--2000-...., Violence policière--Sociologie--2000-...., Inégalité sociale--Sociologie--2000-..... The book is published by Editions JC Lattès.",,,Local metadata fallback,
8204,The Cambridge history of medieval monasticism in the Latin West /,,"Monasticism, in all of its variations, was a feature of almost every landscape in the medieval West. So ubiquitous were religious women and men throughout the Middle Ages that all medievalists encounter monasticism in their intellectual worlds. While there is enormous interest in medieval monasticism among Anglophone scholars, language is often a barrier to accessing some of the most important and groundbreaking research emerging from Europe. The Cambridge History of Medieval Monasticism in the Latin West offers a comprehensive treatment of medieval monasticism, from Late Antiquity to the end of the Middle Ages. The essays, specially commissioned for this volume and written by an international team of scholars, with contributors from Australia, Belgium, Canada, England, France, Germany, Italy, the Netherlands, Spain, Switzerland, and the United States, cover a range of topics and themes and represent the most up-to-date discoveries on this topic.",Cambridge History of Medieval Monasticism in the Latin West,"Alison Beach, Isabelle Cochelin",Open Library Search -> Work,title=The Cambridge history of medieval monasticism in the Latin West; author=
8205,L'Ordre de Cluny : (909-1789) /,"Pacaut, Marcel","L'Ordre de Cluny : (909-1789) / is a book by Pacaut, Marcel. It is associated with the following themes: Ordre de Cluny--909 / 1789, réforme religieuse--vie consacrée--Ordre de Cluny--909 / 1789. The book is published by A Fayard.",,,Local metadata fallback,
8206,Prémontrés: histoire et spiritualité /,"Ardura, Bernard","Prémontrés: histoire et spiritualité / is a book by Ardura, Bernard. It is associated with the following themes: Prémontrés, spiritualité--Prémontrés. The book is published by Université de Saint-Etienne.",,,Local metadata fallback,
8207,Le monachisme clunisien des origines au XVe siècle : vie intérieure des monastères et organisation de l'ordre /,"Valous, Guy de","Le monachisme clunisien des origines au XVe siècle : vie intérieure des monastères et organisation de l'ordre / is a book by Valous, Guy de. It is associated with the following themes: Ordre de Cluny--origines / 15e s., abbaye--Bénédictins--Cluny (France)--origines / 15e s.. The book is published by A et J Picard.",,,Local metadata fallback,
8208,Rougemont : 9e centenaire : 1080-1980 : choix de textes,,"Rougemont : 9e centenaire : 1080-1980 : choix de textes is a book from the catalog. It is associated with the following themes: Rougemont (Suisse, VD)--1080 / 1980--[études diverses]. The book is published by Bibliothèque historique vaudoise.",,,Local metadata fallback,
8209,L'ours : histoire d'un roi déchu /,"Pastoureau, Michel","L'ours : histoire d'un roi déchu / is a book by Pastoureau, Michel. It is associated with the following themes: ours--Europe--Antiquité / 20e s.. The book is published by Ed du Seuil.",,,Local metadata fallback,
8210,"Les inégalités scolaires en Suisse : école, société et politiques éducatives /",,"Les inégalités scolaires en Suisse : école, société et politiques éducatives / is a book from the catalog. It is associated with the following themes: Démocratisation de l'enseignement, Inégalité sociale, Réussite scolaire, Systèmes d'enseignement, Politique publique. The book is published by Peter Lang.",,,Local metadata fallback,
8211,Walter enquête à la bibliothèque = Walter's library mystery /,"Blanchut, Fabienne","Walter enquête à la bibliothèque = Walter's library mystery / is a book by Blanchut, Fabienne. It is associated with the following themes: Kamishibaï. The book is published by Lire demain.",,,Local metadata fallback,
8212,Vivre les maths CE1 : [Fichier pour les élèves DYS] /,,"Vivre les maths CE1 : [Fichier pour les élèves DYS] / is a book from the catalog. It is associated with the following themes: Mathématiques, Besoins éducatifs particuliers, Manuels d'enseignement primaire. The book is published by Nathan.",,,Local metadata fallback,
8213,Phonologie Vocabulaire : PS-MS-GS-Début CP /,"Breugghe, Lucie","Phonologie Vocabulaire : PS-MS-GS-Début CP / is a book by Breugghe, Lucie. It is associated with the following themes: Phonologie--Étude et enseignement (primaire), Vocabulaire--Étude et enseignement (primaire), Activités d'éveil--Étude et enseignement (primaire). The book is published by Hatier.",,,Local metadata fallback,
8214,Imagier : 240 cartes à découper : maternelle et CP /,"Cèbe, Sylvie","Imagier : 240 cartes à découper : maternelle et CP / is a book by Cèbe, Sylvie. The book is published by Hatier.",,,Local metadata fallback,
8215,Phono GS et début de CP : développer les compétences phonologiques /,,"Phono GS et début de CP : développer les compétences phonologiques / is a book from the catalog. It is associated with the following themes: Français (langue)--Étude et enseignement (primaire), Phonologie--Méthodologie. The book is published by Hatier.",,,Local metadata fallback,
8216,"Catégo PS, MS, GS, ASH : comprendre les catégories, apprendre à catégoriser /",,"Catégo PS, MS, GS, ASH : comprendre les catégories, apprendre à catégoriser / is a book from the catalog. It is associated with the following themes: Catégorisation (psychologie) chez l'enfant, Enfants--Langage, Français (langue)--Phonologie--Étude et enseignement (primaire), Cycle des apprentissages premiers, Problèmes et exercices. The book is published by Hatier.",,,Local metadata fallback,
8217,Correspondance : 1927-1969 /,"Adorno, Theodor Wiesengrund","Correspondance : 1927-1969 / is a book by Adorno, Theodor Wiesengrund. It is associated with the following themes: Adorno, Theodor Wiesengrund--(1903-1969)--Correspondance, Horkheimer, Max--(1895-1973)--Correspondance, Sociologie--Allemagne. The book is published by Klincksieck.",,,Local metadata fallback,
8218,Musique de cinéma : essai /,"Adorno, Theodor Wiesengrund","Musique de cinéma : essai / is a book by Adorno, Theodor Wiesengrund. It is associated with the following themes: musique de film. The book is published by L'Arche.",,,Local metadata fallback,
8219,"Tigre, tigre! /","Fragoso, Margaux, 1979-","Tigre, tigre! / is a book by Fragoso, Margaux, 1979-. It is associated with the following themes: Abus sexuels à l'égard des enfants, Pédophilie, Adolescentes, Relations amoureuses intergénérationnelles, [Roman]. The book is published by Flammarion.",,,Local metadata fallback,
8220,Animal farm = La ferme des animaux /,"Orwell, George","Animal farm = La ferme des animaux / is a book by Orwell, George. The book is published by Gallimard.",,,Local metadata fallback,
8221,Aucun de nous ne reviendra /,"Delbo, Charlotte","Aucun de nous ne reviendra / is a book by Delbo, Charlotte. It is associated with the following themes: camp de concentration--femme--Auschwitz (Pologne)--[document]. The book is published by Les Editions de Minuit.",,,Local metadata fallback,
8222,Au vent mauvais : roman /,"Adimi, Kaouther","Au vent mauvais : roman / is a book by Adimi, Kaouther. The book is published by Seuil.",,,Local metadata fallback,
8223,Le portable /,"Wojcik, Christophe 1968-....","Le portable / is a book by Wojcik, Christophe 1968-..... The book is published by Éditions Héloïse d'Ormesson.",,,Local metadata fallback,
8224,Die schwarze Spinne,"Gotthelf, Jeremias, 1797-1854","Die schwarze Spinne is a book by Gotthelf, Jeremias, 1797-1854. It is associated with the following themes: Allemand (langue)--Lecture, allemand (langue)--langue étrangère--lecture - compréhension--[manuel]--[multimédia], Ouvrages pour la jeunesse. The book is published by Cideb.",,,Local metadata fallback,
8225,Le voyage au Maroc /,"Staël, Nicolas de 1914-1955","Le voyage au Maroc / is a book by Staël, Nicolas de 1914-1955. It is associated with the following themes: Staël, Nicolas de, Récits de voyages, Maroc--Année 1936, Maroc--Année 1937. The book is published by Arléa.",,,Local metadata fallback,
8226,Les théories en études de genre /,"Lépinard, Eléonore","Les théories en études de genre / is a book by Lépinard, Eléonore. It is associated with the following themes: Études sur le genre, Identité sexuelle. The book is published by La Découverte.",,,Local metadata fallback,
8227,Mythes et identité de la Suisse /,"Reszler, André","Mythes et identité de la Suisse / is a book by Reszler, André. It is associated with the following themes: Légendes et histoire--Suisse, Identité collective--Suisse, mythe--société (milieu humain)--Suisse, identité nationale--Suisse. The book is published by Georg.",,,Local metadata fallback,
8228,Le cinéma d'animation /,"Denis, Sébastien","Le cinéma d'animation / is a book by Denis, Sébastien. It is associated with the following themes: cinéma d'animation. The book is published by Armand Colin.",,,Local metadata fallback,
8229,Histoire du cinéma suisse d'animation /,"Edera, Bruno","Histoire du cinéma suisse d'animation / is a book by Edera, Bruno. It is associated with the following themes: cinéma d'animation suisse, ANIMATION: HISTOIRE, SUISSE. The book is published by Travelling.",,,Local metadata fallback,
8230,Le journal intime /,"Didier, Béatrice","Le journal intime / is a book by Didier, Béatrice. It is associated with the following themes: journal intime. The book is published by Presses universitaires de France.",,,Local metadata fallback,
8231,Un journal à soi : histoire d'une pratique /,"Lejeune, Philippe, 1938-","Un journal à soi : histoire d'une pratique / is a book by Lejeune, Philippe, 1938-. It is associated with the following themes: journal intime--Antiquité / 20e s., journal intime--Antiquité / 20e s.--[iconographie], journal intime d'expression française--Moyen-Âge / 20e s., journal intime d'expression française--Moyen-Âge / 20e s.--[iconographie], journal intime français--Moyen-Âge / 20e s.. The book is published by Textuel.",,,Local metadata fallback,
8232,"Malades incurables, vieillards infirmes et enfants difformes : histoire sociale et médicale du corps handicapé en Suisse romande (XIXe-début Xxe siècle) /","Kaba, Mariama","Malades incurables, vieillards infirmes et enfants difformes : histoire sociale et médicale du corps handicapé en Suisse romande (XIXe-début Xxe siècle) / is a book by Kaba, Mariama. It is associated with the following themes: handicapé--* médecine--Suisse romande--19e s. (début) / 20e s., handicapé--* sociologie--Suisse romande--19e s. (début) / 20e s.. The book is published by éditeur non identifié.",,,Local metadata fallback,
8233,Le monde des salons : sociabilité et mondanité à Paris au XVIIIe siècle /,"Lilti, Antoine","Le monde des salons : sociabilité et mondanité à Paris au XVIIIe siècle / is a book by Lilti, Antoine. It is associated with the following themes: Vie mondaine--Paris (France)--18e siècle, Salons littéraires--Paris (France)--18e siècle, mondanité--salon littéraire--sociabilité--Paris (France)--18e s., salon littéraire--vie mondaine--Paris (France)--18e s.. The book is published by Fayard.",,,Local metadata fallback,
8234,"Rosalie de Constant, sa famille et ses amis : 1758-1834 /","Achard, Lucie","Rosalie de Constant, sa famille et ses amis : 1758-1834 / is a book by Achard, Lucie. It is associated with the following themes: Constant de Rebecque, Rosalie. The book is published by Ch Eggimann.",,,Local metadata fallback,
8235,Child of the Enlightenment : revolutionary Europe reflected in a boyhood diary /,"Baggerman, Arianne","Child of the Enlightenment : revolutionary Europe reflected in a boyhood diary / is a book by Baggerman, Arianne. It is associated with the following themes: Eck, Otto van,--1780-1798--Diaries, Eck, Otto van,--1780-1798--Childhood and youth, Boys--Netherlands--Diaries, Diaries--History and criticism, Enlightenment--Europe--History--Sources. The book is published by Brill.",,,Local metadata fallback,
8236,Briefe /,"Huber, Therese","Briefe / is a book by Huber, Therese. It is associated with the following themes: Huber, Therese--[correspondance]. The book is published by M Niemeyer.",,,Local metadata fallback,
8237,Le monde des Lumières /,,Le monde des Lumières / is a book from the catalog. It is associated with the following themes: Lumières--[dictionnaire]. The book is published by Fayard.,,,Local metadata fallback,
8238,"Histoire de l'enseignement des langues en Suisse romande, 1725-1945 /","Extermann, Blaise","Histoire de l'enseignement des langues en Suisse romande, 1725-1945 / is a book by Extermann, Blaise. It is associated with the following themes: Langue maternelle et langue seconde (enseignement des langues)--Histoire--Suisse romande. The book is published by Ed Alphil-Pr univ suisses.",,,Local metadata fallback,
8239,"Quinze pédagogues : idées principales et textes choisis : Jean-Jacques Rousseau, Heinrich Pestalozzi, Friedrich Fröbel, Paul Robin, Francisco Ferrer, Rudolf Steiner, John Dewey, Ovide Decroly, Maria Montessori, Antón Makarenko, Adolphe Ferrière, Roger Cousinet, Célestin Freinet, Alexander S. Neill, Carl Rogers /",,"Quinze pédagogues : idées principales et textes choisis : Jean-Jacques Rousseau, Heinrich Pestalozzi, Friedrich Fröbel, Paul Robin, Francisco Ferrer, Rudolf Steiner, John Dewey, Ovide Decroly, Maria Montessori, Antón Makarenko, Adolphe Ferrière, Roger Cousinet, Célestin Freinet, Alexander S. Neill, Carl Rogers / is a book from the catalog. It is associated with the following themes: Pédagogues, Pédagogie, 18e siècle-20e siècle, [Biographies], [Anthologies]. The book is published by Ed Fabert.",,,Local metadata fallback,
8240,Une place : réflexion sur la place des femmes dans l'histoire de l'art /,"Kirilof, Eva 19..-","Une place : réflexion sur la place des femmes dans l'histoire de l'art / is a book by Kirilof, Eva 19..-. It is associated with the following themes: Femmes artistes, Femmes--Dans l'art, Bandes dessinées. The book is published by Hachette Pratique.",,,Local metadata fallback,
8241,A brief history of black holes : and why nearly everything you know about them is wrong /,"Smethurst, Becky astrophysicienne 1990-....","A brief history of black holes : and why nearly everything you know about them is wrong / is a book by Smethurst, Becky astrophysicienne 1990-..... It is associated with the following themes: Black holes (Astronomy). The book is published by Macmillan.",,,Local metadata fallback,
8242,Art & fear : observations on the perils (and rewards) of artmaking /,"Bayles, David Paul 1952-....","Art & fear : observations on the perils (and rewards) of artmaking / is a book by Bayles, David Paul 1952-..... The book is published by Souvenir Press.",,,Local metadata fallback,
8243,The man who could move clouds : a memoir /,"Rojas Contreras, Ingrid‏, 1985-","The man who could move clouds : a memoir / is a book by Rojas Contreras, Ingrid‏, 1985-. The book is published by Anchor Books a division of Penguin Random House LLC.",,,Local metadata fallback,
8244,Justice pour les hérissons : la vérité des valeurs /,"Dworkin, Ronald, 1931-2013","Justice pour les hérissons : la vérité des valeurs / is a book by Dworkin, Ronald, 1931-2013. It is associated with the following themes: Sciences, Valeurs (philosophie), Morale, Relativisme. The book is published by Labor et Fides.",,,Local metadata fallback,
8245,Fjällbacka /,"Läckberg, Camilla, 1974-","Fjällbacka / is a book by Läckberg, Camilla, 1974-. It is associated with the following themes: Bandes dessinées. The book is published by Casterman.",,,Local metadata fallback,
8246,Pourquoi les vouivres raffolent des myrtilles /,"Strobino, Amélie","Pourquoi les vouivres raffolent des myrtilles / is a book by Strobino, Amélie. It is associated with the following themes: Créatures fabuleuses, Vouivres, Montagnes, Pierres fines. The book is published by Helvetiq.",,,Local metadata fallback,
8247,Un volcan par jour /,"Vaucher, Fanny","Un volcan par jour / is a book by Vaucher, Fanny. It is associated with the following themes: Volcans, Bandes dessinées. The book is published by Antipodes.",,,Local metadata fallback,
8248,Mon livre musical de Mozart /,"Delhoste, Marie","Mon livre musical de Mozart / is a book by Delhoste, Marie. It is associated with the following themes: Mozart, Wolfgang Amadeus, Ouvrages pour la jeunesse. The book is published by Thomas jeunesse.",,,Local metadata fallback,
8249,Les secrets de la fougère /,"Roggen-Crausaz, Cathy, 1974-","Les secrets de la fougère / is a book by Roggen-Crausaz, Cathy, 1974-. It is associated with the following themes: Ouvrages pour la jeunesse, Fougères, Botanique. The book is published by Bois Carré.",,,Local metadata fallback,
8250,Le Petit Robert des noms propres : dictionnaire illustré /,,"Le Petit Robert des noms propres : dictionnaire illustré / is a book from the catalog. It is associated with the following themes: Noms propres, Français (langue), [Dictionnaires français]. The book is published by Le Robert.",,,Local metadata fallback,
8251,"Spectres de Marx : l'Etat de la dette, le travail du deuil et la nouvelle Internationale /","Derrida, Jacques","Spectres de Marx : l'Etat de la dette, le travail du deuil et la nouvelle Internationale / is a book by Derrida, Jacques. It is associated with the following themes: déconstruction--marxisme--problèmes sociaux. The book is published by Galilée.",,,Local metadata fallback,
8252,L'abri /,"Claire, Céline","L'abri / is a book by Claire, Céline. It is associated with the following themes: Hospitalité, Sans-abri, Livres d'images. The book is published by Bayard Jeunesse.",,,Local metadata fallback,
8253,Quel avenir pour la justice pénale? /,"Kuhn, André, 1961-","Quel avenir pour la justice pénale? / is a book by Kuhn, André, 1961-. It is associated with the following themes: Justice pénale--Administration, Strafen und Massnahmen, Strafe, Zweck(allgemein), Justice pénale. The book is published by Les Editions de l'Hèbe.",,,Local metadata fallback,
8254,La justice restaurative : pour sortir des impasses de la logique punitive /,"Zehr, Howard","La justice restaurative : pour sortir des impasses de la logique punitive / is a book by Zehr, Howard. It is associated with the following themes: Justice réparatrice, justice restaurative. The book is published by Labor et Fides.",,,Local metadata fallback,
8255,Mettre l'humain au centre du droit pénal : les apports de la justice restaurative /,,"Mettre l'humain au centre du droit pénal : les apports de la justice restaurative / is a book from the catalog. It is associated with the following themes: Kriminologie, Kriminalpolitik, Strafprozess, Resozialisierung, Rechtsvergleichung. The book is published by Schulthess.",,,Local metadata fallback,
8256,"Mythologie chrétienne : fêtes, rites et mythes du Moyen Age /","Walter, Philippe","Mythologie chrétienne : fêtes, rites et mythes du Moyen Age / is a book by Walter, Philippe. It is associated with the following themes: christianisme--mythe--rite--Moyen-Âge. The book is published by Ed Imago.",,,Local metadata fallback,
8257,L'aplatissement du monde : la crise de la culture et l'empire des normes /,"Roy, Olivier politiste 1949-....","L'aplatissement du monde : la crise de la culture et l'empire des normes / is a book by Roy, Olivier politiste 1949-..... It is associated with the following themes: Culture, Identité collective, Acculturation, Normes sociales, Multiculturalisme. The book is published by Éditions du Seuil.",,,Local metadata fallback,
8258,"Histoire du Coran : contexte, origine, rédaction /",,"Histoire du Coran : contexte, origine, rédaction / is a book from the catalog. It is associated with the following themes: Exégèse coranique Histoire. The book is published by Les Editions du Cerf.",,,Local metadata fallback,
8259,Féminismes arabes : un siècle de combat : les cas du Maroc et de la Tunisie /,"Tauil, Leïla","Féminismes arabes : un siècle de combat : les cas du Maroc et de la Tunisie / is a book by Tauil, Leïla. It is associated with the following themes: Féminisme--Aspect politique--Maroc--1800-...., Féminisme--Aspect politique--Tunisie--1800-..... The book is published by L'Harmattan.",,,Local metadata fallback,
8260,"Théologie ""queer"" /","Tonstad, Linn Marie 19..-....","Théologie ""queer"" / is a book by Tonstad, Linn Marie 19..-..... It is associated with the following themes: Théologie, Théorie queer. The book is published by Labor et Fides.",,,Local metadata fallback,
8261,Primauté du vivant : essai sur le pensable /,"Bourg, Dominique, 1953-","Primauté du vivant : essai sur le pensable / is a book by Bourg, Dominique, 1953-. It is associated with the following themes: Philosophie de l'environnement, Monisme, Dualisme (philosophie), Écologie--Philosophie. The book is published by Presses universitaires de France / Humensis.",,,Local metadata fallback,
8262,"Joannis Duns Scoti doctoris subtilis, ordinis Minorum, opera omnia","Duns, Joannes Scotus","Joannis Duns Scoti doctoris subtilis, ordinis Minorum, opera omnia is a book by Duns, Joannes Scotus. The book is published by L Vivès.",,,Local metadata fallback,
8263,"Conjugaison : B1-B2 : 500 exercices, corrigés inclus /","Grand-Clément, Odile","Conjugaison : B1-B2 : 500 exercices, corrigés inclus / is a book by Grand-Clément, Odile. It is associated with the following themes: Conjugaison française. The book is published by Clé international.",,,Local metadata fallback,
8264,1856-2006 : la Société pédagogique vaudoise : histoire & perspectives /,,1856-2006 : la Société pédagogique vaudoise : histoire & perspectives / is a book from the catalog. It is associated with the following themes: Société pédagogique vaudoise (Vaud)--1856 / 2006. The book is published by LEP Loisirs et Pédagogie; Société pédagogique vaudoise.,,,Local metadata fallback,
8265,Comprendre la Suisse /,"Blaser, Andreas","Comprendre la Suisse / is a book by Blaser, Andreas. It is associated with the following themes: Landeskunde, Schweiz. The book is published by hep der Bildungsverlag.",,,Local metadata fallback,
8266,Naples et la côte amalfitaine /,"Bonetto, Cristian","Naples et la côte amalfitaine / is a book by Bonetto, Cristian. It is associated with the following themes: Naples (Italie), Guides touristiques et de visite. The book is published by Lonely Planet.",,,Local metadata fallback,
8267,Le contrat d'assurance RC /,"Brehm, Roland, 1932-","Le contrat d'assurance RC / is a book by Brehm, Roland, 1932-. It is associated with the following themes: assurance responsabilité civile--contrat d'assurance--Suisse, Privatversicherung, Haftpflichtversicherung, Versicherungsvertrag, Schweiz. The book is published by Helbing & Lichtenhahn.",,,Local metadata fallback,
8268,"La mafia en Suisse : au coeur du crime organisé : histoire, secrets, pouvoir /","Rossi, Madeleine, 1973-","La mafia en Suisse : au coeur du crime organisé : histoire, secrets, pouvoir / is a book by Rossi, Madeleine, 1973-. It is associated with the following themes: Mafia--Suisse, Lutte contre le crime organisé, 'Ndrangheta, Crime organisé, Justice. The book is published by Editions Attinger.",,,Local metadata fallback,
8269,Fair division and collective welfare /,"Moulin, Hervé","Fair division and collective welfare / is a book by Moulin, Hervé. It is associated with the following themes: bien-être--égalité--justice distributive--* économie politique, bien-être--revenu national - distribution--* économie politique. The book is published by The MIT Press.",,,Local metadata fallback,
8270,La mort : raconter la mort et le deuil aux enfants /,,"La mort : raconter la mort et le deuil aux enfants / is a book from the catalog. It is associated with the following themes: Mort--Dans la littérature pour la jeunesse, Bibliographie analytique. The book is published by AROLE Association romande de littérature pour l'enfance et la jeunesse; Institut suisse Jeunesse et médias ISJM.",,,Local metadata fallback,
